,age,job,marital,education,balance,housing,loan,day,month,campaign
29491,56,blue-collar,married,primary,151,0,0,3,feb,1
10895,48,blue-collar,married,secondary,1562,0,0,17,jun,2
28304,46,admin.,married,secondary,466,1,0,29,jan,1
13203,46,blue-collar,divorced,primary,2775,0,1,8,jul,1
37548,28,blue-collar,married,primary,674,1,0,14,may,4
19800,57,blue-collar,married,unknown,1463,0,0,8,aug,2
7893,42,technician,divorced,secondary,0,1,0,30,may,6
27669,31,management,married,tertiary,1402,0,0,21,nov,2
19529,34,technician,married,tertiary,4953,0,0,7,aug,2
8523,27,blue-collar,married,secondary,818,1,0,3,jun,5
35797,33,management,married,tertiary,113,1,0,8,may,2
20129,35,technician,single,secondary,14,0,0,11,aug,2
40487,34,technician,married,secondary,-74,1,0,7,jul,2
10659,50,housemaid,married,primary,4,0,0,16,jun,1
865,35,technician,married,secondary,118,1,0,7,may,1
26685,47,blue-collar,married,secondary,2428,1,0,20,nov,6
5503,36,technician,divorced,tertiary,0,0,0,23,may,2
30714,50,entrepreneur,divorced,tertiary,1790,0,1,6,feb,3
3394,46,management,married,tertiary,1038,1,1,15,may,3
23865,32,technician,married,secondary,444,0,0,29,aug,2
28815,36,services,married,secondary,238,0,0,30,jan,1
17245,43,blue-collar,single,primary,-399,0,1,28,jul,3
26738,30,blue-collar,divorced,primary,511,1,0,20,nov,3
30598,40,entrepreneur,married,secondary,2663,1,1,6,feb,2
1093,46,blue-collar,single,secondary,76,1,0,7,may,2
19465,38,management,single,tertiary,3813,0,0,7,aug,2
7421,25,blue-collar,single,secondary,1429,1,0,29,may,3
28476,27,unemployed,single,primary,1459,1,0,29,jan,1
34875,47,entrepreneur,married,unknown,1481,1,0,6,may,2
25702,46,blue-collar,married,secondary,9347,1,0,19,nov,1
27353,54,blue-collar,married,secondary,-10,1,0,21,nov,2
40875,35,housemaid,married,tertiary,11219,0,0,12,aug,2
37709,55,management,married,primary,366,1,0,14,may,1
3562,50,blue-collar,married,secondary,1604,1,0,15,may,5
6003,31,services,single,secondary,0,1,0,26,may,2
18359,44,management,single,tertiary,617,0,0,31,jul,2
11430,40,services,married,secondary,1358,0,0,19,jun,1
5053,28,unemployed,married,tertiary,264,1,0,21,may,2
4541,43,management,married,tertiary,-8,1,0,20,may,2
8046,32,entrepreneur,married,primary,56,0,0,2,jun,1
23713,40,technician,married,secondary,88,0,0,28,aug,3
40891,37,technician,single,secondary,300,0,0,12,aug,1
15217,26,admin.,married,secondary,5231,0,1,17,jul,2
2139,26,blue-collar,single,secondary,199,1,1,12,may,1
31645,35,technician,married,secondary,0,1,0,6,apr,1
6455,41,technician,married,secondary,-274,1,0,27,may,3
18253,27,services,single,secondary,0,1,0,31,jul,6
13124,25,management,single,secondary,1923,0,1,8,jul,1
6462,30,blue-collar,married,secondary,-202,0,0,27,may,2
42990,75,retired,divorced,primary,37127,0,0,11,feb,1
21006,54,management,married,tertiary,0,0,0,14,aug,7
40377,48,admin.,divorced,secondary,0,1,1,23,jun,1
24020,31,management,single,tertiary,7554,0,0,29,aug,1
2316,48,blue-collar,married,primary,762,1,0,12,may,4
37595,44,blue-collar,married,secondary,-182,1,1,14,may,10
19908,32,management,single,tertiary,28,0,0,8,aug,2
25331,39,blue-collar,married,secondary,8,0,1,18,nov,1
12409,39,services,married,primary,324,1,0,30,jun,4
28850,45,entrepreneur,divorced,secondary,44,0,1,30,jan,2
7771,38,management,married,tertiary,2548,1,0,30,may,1
41298,39,technician,divorced,secondary,385,0,0,26,aug,1
44892,89,retired,married,primary,0,0,0,27,sep,5
8547,43,admin.,married,secondary,429,1,1,3,jun,32
33459,54,blue-collar,married,primary,433,1,0,20,apr,5
12296,47,technician,married,secondary,80,0,1,25,jun,1
44993,43,admin.,single,secondary,386,0,0,12,oct,1
538,34,blue-collar,married,unknown,245,1,0,6,may,1
28504,57,management,divorced,tertiary,-676,1,1,29,jan,2
14172,37,management,divorced,secondary,1448,1,0,11,jul,2
2073,29,technician,married,tertiary,409,1,0,12,may,3
5761,41,blue-collar,married,secondary,-651,1,1,26,may,1
32228,29,blue-collar,single,secondary,2553,1,0,16,apr,1
20312,31,management,married,tertiary,4945,0,0,11,aug,1
14451,50,management,married,tertiary,305,1,0,14,jul,3
32903,30,technician,married,secondary,-280,1,0,17,apr,2
2956,46,technician,divorced,secondary,3455,1,0,14,may,2
21095,37,management,divorced,tertiary,896,0,1,14,aug,2
36642,48,management,married,secondary,-440,1,1,12,may,1
43330,46,management,married,tertiary,273,1,0,18,mar,2
44192,68,retired,married,secondary,2469,1,0,15,jul,2
12969,35,management,married,tertiary,122,0,0,7,jul,4
26774,45,blue-collar,married,primary,5461,1,0,20,nov,2
39136,32,blue-collar,married,primary,-454,1,1,18,may,5
1458,35,blue-collar,single,primary,398,1,0,8,may,1
39452,28,self-employed,single,tertiary,2503,0,0,25,may,1
17187,45,admin.,divorced,tertiary,1506,0,0,28,jul,4
37266,36,technician,married,secondary,55,1,0,13,may,2
2685,53,retired,divorced,tertiary,599,1,0,13,may,3
28482,29,entrepreneur,single,tertiary,430,0,1,29,jan,2
16914,44,technician,single,primary,237,1,0,25,jul,1
18123,44,blue-collar,divorced,secondary,221,0,0,30,jul,13
36424,32,technician,single,secondary,271,1,1,11,may,2
8237,35,blue-collar,married,primary,456,1,0,2,jun,1
13176,26,management,single,tertiary,8303,0,0,8,jul,2
17916,48,technician,married,secondary,862,0,0,30,jul,2
44468,45,admin.,married,secondary,476,0,0,6,aug,1
6492,34,admin.,single,secondary,0,1,0,27,may,2
26800,36,admin.,married,tertiary,75,0,1,20,nov,2
38622,29,admin.,single,secondary,-349,1,0,15,may,4
8366,58,management,married,tertiary,107,1,0,3,jun,1
34013,53,services,married,secondary,341,0,0,30,apr,2
14708,36,entrepreneur,married,secondary,185,1,0,15,jul,2
36933,60,technician,married,secondary,-247,1,0,12,may,2
9696,39,entrepreneur,married,secondary,0,0,0,6,jun,4
19725,38,technician,married,secondary,740,0,0,7,aug,3
15851,29,blue-collar,married,primary,544,0,1,21,jul,4
8320,35,technician,single,secondary,1708,1,0,2,jun,3
12465,31,services,married,tertiary,-90,0,1,1,jul,1
31952,43,blue-collar,married,secondary,678,1,1,13,apr,3
1965,28,technician,married,secondary,655,1,0,9,may,2
33154,52,services,divorced,secondary,1430,1,0,20,apr,4
43680,19,student,single,primary,608,0,0,12,may,1
28334,35,technician,single,secondary,175,1,0,29,jan,1
20767,56,admin.,married,unknown,1784,0,0,13,aug,2
9863,42,technician,married,secondary,0,0,0,9,jun,1
29401,54,management,married,tertiary,67,1,0,2,feb,3
2439,45,blue-collar,married,secondary,4646,1,0,13,may,1
15016,43,entrepreneur,married,secondary,556,1,0,17,jul,1
1153,54,technician,divorced,secondary,1904,1,1,7,may,3
25887,47,blue-collar,married,secondary,310,0,0,19,nov,2
26745,34,management,married,tertiary,16649,1,0,20,nov,2
1293,30,entrepreneur,married,secondary,31,0,0,8,may,1
144,59,blue-collar,married,secondary,57,1,0,5,may,1
4035,34,blue-collar,married,primary,695,1,1,16,may,4
8192,39,technician,single,secondary,122,1,0,2,jun,1
26863,30,blue-collar,single,secondary,1472,1,0,20,nov,4
17860,52,blue-collar,single,primary,1400,0,0,30,jul,4
16846,34,technician,married,tertiary,0,1,0,25,jul,3
1155,38,unemployed,married,primary,447,1,0,7,may,4
26257,52,management,married,primary,57,1,1,20,nov,1
11426,55,services,married,secondary,557,0,0,19,jun,1
8853,35,blue-collar,married,primary,300,1,0,4,jun,1
29040,60,technician,married,secondary,358,0,0,2,feb,1
558,39,blue-collar,divorced,unknown,170,1,0,6,may,2
11049,36,services,single,secondary,398,1,1,17,jun,2
31393,76,retired,divorced,primary,3049,0,0,24,mar,3
4978,32,blue-collar,single,secondary,435,1,0,21,may,2
3763,24,blue-collar,married,secondary,142,1,1,16,may,1
12686,51,technician,married,secondary,216,0,0,7,jul,2
9560,48,management,married,primary,2803,1,0,6,jun,24
40812,48,unemployed,divorced,secondary,201,0,0,11,aug,1
41349,33,technician,single,tertiary,2340,0,0,31,aug,5
14806,35,management,married,tertiary,-273,1,0,16,jul,3
39879,33,services,divorced,secondary,1117,0,0,2,jun,1
45100,34,blue-collar,married,secondary,152,0,0,25,oct,1
11253,47,technician,married,secondary,3478,0,0,18,jun,11
37116,31,services,single,secondary,6737,1,0,13,may,7
20077,54,technician,married,secondary,1349,0,0,11,aug,6
39490,38,management,married,tertiary,93,1,0,25,may,1
25384,46,management,divorced,tertiary,6269,1,0,18,nov,3
35216,32,technician,single,tertiary,514,1,1,7,may,1
14791,37,entrepreneur,married,primary,8,1,1,16,jul,1
27268,37,admin.,single,secondary,528,1,0,21,nov,1
20877,59,retired,married,primary,1393,1,1,13,aug,1
14060,50,services,divorced,secondary,0,1,0,11,jul,2
2489,44,technician,married,tertiary,0,1,1,13,may,2
26571,31,entrepreneur,single,tertiary,627,0,0,20,nov,2
17585,48,admin.,married,secondary,292,1,1,29,jul,6
18726,50,blue-collar,divorced,secondary,2725,0,0,31,jul,4
42577,32,services,married,secondary,914,0,0,29,dec,1
2570,60,admin.,divorced,unknown,791,1,0,13,may,1
27521,30,blue-collar,single,primary,5641,0,0,21,nov,3
9475,37,technician,single,tertiary,1309,0,0,6,jun,2
22101,58,retired,married,primary,358,0,0,21,aug,2
38352,46,blue-collar,married,secondary,51,1,0,15,may,1
34094,41,entrepreneur,married,secondary,30,0,0,30,apr,1
43865,31,technician,single,secondary,90,0,1,4,jun,1
9209,38,admin.,single,secondary,3239,0,0,5,jun,2
17606,51,admin.,divorced,secondary,-338,1,0,29,jul,2
23011,56,technician,married,tertiary,272,0,0,26,aug,2
25553,35,management,married,tertiary,3889,1,0,19,nov,2
37541,26,services,single,tertiary,130,1,0,14,may,7
40701,41,admin.,married,tertiary,1536,0,0,7,aug,1
17341,29,technician,married,tertiary,676,0,0,28,jul,4
43876,22,services,single,secondary,361,0,0,7,jun,4
19272,50,technician,married,secondary,1412,0,0,6,aug,3
6963,44,technician,married,secondary,265,1,0,28,may,2
25879,59,retired,married,primary,741,0,0,19,nov,2
41211,60,admin.,married,secondary,106,0,0,21,aug,3
12073,44,blue-collar,married,primary,-312,1,0,20,jun,3
28694,35,services,single,secondary,49,0,0,30,jan,1
37834,34,admin.,married,secondary,774,1,1,14,may,1
44922,54,blue-collar,single,secondary,1633,1,0,4,oct,1
34080,47,technician,married,tertiary,2408,0,0,30,apr,1
7714,44,technician,single,secondary,2403,1,0,30,may,1
7516,26,services,divorced,secondary,1600,1,1,30,may,3
11042,56,blue-collar,married,primary,288,0,0,17,jun,3
5689,48,admin.,divorced,secondary,238,1,0,26,may,2
9731,43,services,married,secondary,861,1,0,9,jun,1
20489,30,technician,single,tertiary,8138,1,0,12,aug,2
13005,31,blue-collar,single,secondary,-2,0,1,7,jul,2
21019,40,technician,single,tertiary,539,0,0,14,aug,2
33774,19,student,single,primary,1247,0,0,23,apr,1
11339,42,services,married,secondary,3236,0,0,18,jun,11
14874,30,management,married,tertiary,319,1,1,16,jul,2
21270,39,management,single,tertiary,1914,0,0,18,aug,4
218,46,housemaid,married,primary,965,0,0,5,may,1
2307,43,blue-collar,married,primary,1401,1,0,12,may,2
32809,31,services,married,secondary,371,1,1,17,apr,1
25386,51,management,single,tertiary,1202,1,0,18,nov,1
1328,32,admin.,married,secondary,514,1,0,8,may,1
41970,40,admin.,married,tertiary,1108,0,0,26,oct,2
36911,43,blue-collar,married,unknown,245,1,1,12,may,4
15070,48,technician,married,tertiary,658,1,0,17,jul,1
2614,48,management,married,tertiary,2218,1,0,13,may,2
634,52,entrepreneur,married,tertiary,-184,1,1,6,may,2
42073,41,unemployed,married,tertiary,0,0,0,30,oct,3
1548,37,blue-collar,married,primary,496,1,0,8,may,2
41611,43,management,divorced,tertiary,2367,0,0,22,sep,1
20217,45,blue-collar,married,primary,2388,0,0,11,aug,2
6339,52,technician,married,secondary,2001,1,0,27,may,4
18203,27,services,divorced,secondary,397,0,1,30,jul,3
23481,32,management,single,tertiary,27,0,0,28,aug,3
33941,35,admin.,married,secondary,-312,0,0,30,apr,1
9511,55,housemaid,married,primary,1870,0,0,6,jun,1
44775,30,technician,single,secondary,167,0,0,14,sep,1
17626,39,services,married,secondary,2381,1,1,29,jul,3
36426,50,entrepreneur,married,tertiary,388,1,0,11,may,4
42117,59,management,married,secondary,4412,0,0,2,nov,2
33671,26,student,single,tertiary,5169,1,0,20,apr,2
2780,31,admin.,married,secondary,752,1,0,14,may,1
13960,48,technician,married,secondary,454,1,0,10,jul,1
26143,54,admin.,divorced,secondary,459,0,1,20,nov,3
20644,31,management,single,tertiary,391,1,0,12,aug,3
5735,49,admin.,married,primary,305,1,1,26,may,1
4582,33,blue-collar,married,secondary,3259,1,0,20,may,1
13940,59,management,married,secondary,0,0,1,10,jul,1
36833,29,student,single,secondary,3872,1,0,12,may,2
6221,30,management,single,tertiary,3773,1,0,27,may,1
41126,26,management,single,tertiary,2506,0,0,18,aug,1
28571,41,blue-collar,married,secondary,140,1,0,29,jan,2
2728,28,technician,single,secondary,468,1,0,13,may,3
31236,38,admin.,married,secondary,2549,0,0,3,mar,1
34271,25,student,single,secondary,41,1,0,4,may,2
6850,47,management,married,secondary,490,1,0,28,may,1
1264,37,technician,single,unknown,391,1,0,8,may,3
20242,53,housemaid,married,primary,1869,0,0,11,aug,4
36209,39,blue-collar,married,secondary,1403,0,0,11,may,8
15971,32,technician,single,tertiary,259,0,0,22,jul,4
15721,25,technician,single,secondary,2157,1,0,21,jul,1
28474,31,self-employed,married,tertiary,229,0,0,29,jan,1
18036,44,unemployed,married,primary,51,0,0,30,jul,4
41267,45,unknown,married,tertiary,8564,0,0,25,aug,1
37518,53,technician,married,secondary,6831,0,0,13,may,2
28515,26,technician,single,tertiary,1996,0,0,29,jan,2
20959,36,management,married,tertiary,406,0,0,14,aug,2
32720,34,admin.,married,secondary,1467,1,0,17,apr,1
15858,34,services,single,secondary,-30,0,0,21,jul,3
23257,51,blue-collar,married,secondary,16,1,1,27,aug,2
25757,34,blue-collar,divorced,secondary,1125,1,1,19,nov,2
35480,36,admin.,divorced,secondary,181,1,0,7,may,2
13039,44,management,divorced,tertiary,193,0,1,8,jul,2
35176,28,blue-collar,single,secondary,87,1,0,7,may,1
5388,25,blue-collar,married,secondary,51,1,0,23,may,2
15444,34,management,single,tertiary,99,0,0,18,jul,1
42220,35,management,married,tertiary,0,1,0,11,nov,2
657,40,blue-collar,married,primary,-322,1,1,6,may,1
40575,31,unknown,married,secondary,3,0,0,20,jul,2
43421,27,student,single,tertiary,13107,1,0,6,apr,1
30246,30,technician,married,secondary,1099,1,0,5,feb,1
29218,49,self-employed,married,tertiary,147,0,1,2,feb,1
29827,37,management,married,tertiary,0,1,0,4,feb,1
26885,34,management,married,tertiary,19391,0,0,20,nov,2
13126,41,admin.,single,secondary,26,0,0,8,jul,1
25790,47,admin.,divorced,secondary,1939,1,0,19,nov,1
27649,41,entrepreneur,married,secondary,0,1,1,21,nov,5
35193,29,admin.,single,tertiary,422,1,0,7,may,1
26184,33,management,single,secondary,20600,0,0,20,nov,1
6067,41,services,married,secondary,2085,1,0,26,may,4
33391,39,management,single,tertiary,1457,1,0,20,apr,1
44620,69,technician,married,secondary,2661,0,0,1,sep,1
14143,30,blue-collar,married,primary,35,1,0,11,jul,2
43864,65,admin.,married,secondary,952,0,0,2,jun,1
10943,37,entrepreneur,single,secondary,926,0,0,17,jun,2
7770,43,management,single,tertiary,690,1,0,30,may,1
10513,31,technician,divorced,secondary,-1185,1,0,16,jun,5
3091,27,blue-collar,single,secondary,1150,1,0,14,may,1
38192,30,services,single,primary,79,1,0,15,may,1
24047,50,blue-collar,married,primary,12519,1,0,18,oct,1
229,53,services,divorced,secondary,1467,1,0,5,may,1
4550,35,blue-collar,married,primary,356,1,1,20,may,2
29000,26,technician,single,secondary,3244,0,0,2,feb,1
42151,29,admin.,single,secondary,2,0,0,4,nov,1
8138,29,admin.,single,secondary,315,1,0,2,jun,4
5513,34,admin.,married,secondary,1049,1,0,23,may,14
26471,45,management,single,tertiary,5769,0,0,20,nov,3
27484,37,services,single,secondary,105,0,1,21,nov,2
25042,51,blue-collar,married,secondary,0,0,0,18,nov,1
37520,52,entrepreneur,married,secondary,3332,1,1,13,may,4
10527,41,management,single,unknown,1604,0,0,16,jun,2
5839,57,retired,married,tertiary,138,0,0,26,may,5
15974,37,management,married,tertiary,0,0,0,22,jul,1
35454,31,admin.,single,secondary,0,1,0,7,may,2
21335,43,management,married,tertiary,13044,0,0,18,aug,4
39544,56,entrepreneur,married,secondary,339,1,0,26,may,1
14023,35,management,married,tertiary,0,0,0,11,jul,1
13991,26,services,single,secondary,235,0,0,10,jul,3
1834,33,services,married,tertiary,546,1,1,9,may,1
41914,38,blue-collar,divorced,secondary,0,1,0,21,oct,1
18418,35,blue-collar,single,primary,-759,1,0,31,jul,2
38986,30,management,single,tertiary,3410,1,0,18,may,1
40830,29,admin.,married,tertiary,238,0,0,11,aug,1
13488,60,blue-collar,married,secondary,19447,1,0,9,jul,1
35740,36,blue-collar,married,secondary,0,1,0,8,may,1
27080,48,technician,married,secondary,4265,1,0,21,nov,1
38593,56,technician,single,secondary,751,1,0,15,may,8
30645,31,admin.,single,tertiary,383,0,1,6,feb,1
27372,43,management,married,tertiary,2083,0,0,21,nov,2
22392,31,technician,single,secondary,1,0,0,22,aug,2
4777,39,blue-collar,married,primary,1966,1,0,21,may,1
38143,35,blue-collar,married,secondary,253,1,0,15,may,1
34772,29,blue-collar,married,primary,111,1,0,6,may,11
44199,45,technician,single,tertiary,1591,0,0,15,jul,4
38756,59,blue-collar,married,secondary,32,1,0,18,may,5
2871,44,services,single,secondary,0,1,0,14,may,1
1184,42,entrepreneur,married,primary,198,1,0,8,may,1
41558,49,entrepreneur,divorced,tertiary,315,0,0,11,sep,1
45025,61,retired,married,secondary,938,0,0,15,oct,2
34837,37,admin.,divorced,secondary,315,1,0,6,may,1
3881,27,technician,single,tertiary,3706,1,0,16,may,1
12471,32,admin.,married,secondary,0,1,1,1,jul,1
37524,29,blue-collar,single,primary,1768,1,0,13,may,3
26018,43,self-employed,divorced,secondary,347,0,0,19,nov,3
24925,31,admin.,single,secondary,482,1,0,18,nov,1
2648,60,retired,married,secondary,1390,0,1,13,may,2
38419,28,student,single,secondary,217,1,0,15,may,2
35785,39,blue-collar,married,secondary,-196,1,0,8,may,2
23723,31,technician,single,secondary,182,0,0,28,aug,5
6603,30,self-employed,single,secondary,311,1,1,28,may,3
14584,56,unemployed,divorced,primary,109,0,0,15,jul,4
6145,45,technician,married,unknown,473,1,0,27,may,1
36916,44,blue-collar,single,secondary,492,0,1,12,may,2
13825,28,services,married,secondary,72,0,1,10,jul,4
18098,37,student,divorced,tertiary,0,0,0,30,jul,6
21992,48,management,single,secondary,-18,1,0,20,aug,4
35101,38,technician,single,secondary,435,1,0,6,may,4
36502,59,entrepreneur,married,tertiary,146,1,0,12,may,3
5586,33,entrepreneur,married,secondary,1847,1,0,23,may,6
2972,45,blue-collar,married,secondary,141,1,1,14,may,10
14305,30,self-employed,single,secondary,635,0,1,14,jul,2
39072,26,blue-collar,single,primary,37,1,0,18,may,5
44345,28,admin.,single,secondary,261,1,1,30,jul,7
32987,38,admin.,married,secondary,326,1,0,17,apr,2
15207,35,blue-collar,married,tertiary,1016,1,0,17,jul,2
28532,28,management,single,secondary,1861,0,0,29,jan,2
37774,30,blue-collar,single,secondary,-177,1,0,14,may,1
24953,35,admin.,married,secondary,0,1,1,18,nov,1
42658,59,technician,married,primary,4198,0,0,14,jan,1
44484,28,management,single,tertiary,6791,0,0,9,aug,1
3604,31,unemployed,single,primary,0,1,0,15,may,18
40173,31,admin.,married,secondary,389,1,0,5,jun,2
9082,37,entrepreneur,divorced,secondary,14,0,0,5,jun,1
27532,30,services,married,secondary,0,1,0,21,nov,4
8850,39,blue-collar,married,primary,295,1,0,4,jun,1
43159,33,management,married,tertiary,71,0,0,26,feb,3
23725,58,blue-collar,married,primary,6762,0,0,28,aug,25
28188,59,management,married,tertiary,1857,0,0,29,jan,1
14819,25,services,single,tertiary,130,1,0,16,jul,1
2040,35,technician,married,unknown,86,1,0,12,may,4
41935,35,technician,married,secondary,2779,0,0,22,oct,2
20791,60,admin.,married,secondary,1538,0,0,13,aug,2
212,59,housemaid,divorced,primary,195,0,0,5,may,2
37849,25,student,single,tertiary,938,1,0,14,may,1
19088,54,management,married,tertiary,810,0,0,5,aug,1
21863,53,blue-collar,married,primary,570,0,0,20,aug,4
8644,52,unemployed,married,secondary,2251,1,0,3,jun,9
2290,38,blue-collar,single,unknown,573,1,0,12,may,7
35010,49,services,married,primary,0,1,0,6,may,2
27862,29,admin.,married,secondary,19,0,0,28,jan,1
11327,54,technician,single,tertiary,1433,1,1,18,jun,20
6731,27,technician,married,secondary,58,1,0,28,may,1
10054,38,admin.,single,secondary,4023,0,0,11,jun,2
29250,27,admin.,single,tertiary,43,0,0,2,feb,3
20089,35,management,married,tertiary,337,0,0,11,aug,5
14903,38,technician,married,secondary,217,0,1,16,jul,3
15173,34,admin.,married,tertiary,1,1,0,17,jul,3
42976,38,admin.,single,tertiary,3954,1,0,10,feb,1
4427,29,services,single,secondary,271,1,0,20,may,2
38498,26,blue-collar,single,primary,17,1,0,15,may,2
15081,25,self-employed,single,tertiary,453,1,0,17,jul,1
19821,52,management,married,tertiary,1209,0,0,8,aug,4
17779,49,management,married,secondary,633,0,1,29,jul,6
35100,29,blue-collar,married,secondary,100,1,1,6,may,4
9929,45,admin.,single,secondary,276,0,1,9,jun,2
12840,41,management,married,secondary,0,0,1,7,jul,3
21756,47,services,married,secondary,459,0,0,19,aug,3
3613,59,admin.,divorced,secondary,975,1,0,15,may,4
14891,25,admin.,single,secondary,-213,0,1,16,jul,1
37111,31,self-employed,married,secondary,131,1,0,13,may,1
29071,56,technician,married,secondary,778,0,0,2,feb,2
36967,46,entrepreneur,married,secondary,404,1,0,12,may,7
3722,56,management,divorced,tertiary,975,1,0,16,may,4
35847,48,services,married,secondary,1291,1,0,8,may,2
11535,54,retired,married,secondary,3846,1,1,19,jun,2
7553,34,blue-collar,single,secondary,68,1,0,30,may,6
36930,25,admin.,single,secondary,53,1,0,12,may,6
28011,50,management,married,primary,1458,0,0,28,jan,1
19346,36,technician,married,secondary,361,0,0,6,aug,4
2132,55,technician,married,secondary,276,1,0,12,may,1
40698,32,services,single,secondary,6983,0,0,7,aug,1
3231,58,services,married,secondary,0,1,0,15,may,5
35462,30,admin.,single,secondary,239,1,0,7,may,3
12105,44,management,married,tertiary,786,1,0,20,jun,7
14621,25,services,single,secondary,-352,0,0,15,jul,1
42173,24,student,single,tertiary,235,0,0,9,nov,1
37198,29,blue-collar,single,primary,215,1,0,13,may,3
30147,30,blue-collar,single,secondary,-276,0,1,4,feb,8
34580,31,management,single,tertiary,130,1,0,5,may,1
30882,47,services,single,secondary,870,1,0,9,feb,7
35444,29,technician,single,tertiary,0,1,0,7,may,2
31882,39,technician,married,secondary,958,1,0,9,apr,5
18837,40,management,married,tertiary,1213,0,0,4,aug,1
43038,37,management,married,tertiary,2987,1,0,15,feb,1
