,age,job,marital,education,balance,housing,loan,day,month,campaign
31531,67,retired,married,primary,4066,0,0,2,apr,6
26063,57,retired,divorced,tertiary,3875,0,0,19,nov,2
17791,29,services,married,secondary,19,1,0,29,jul,6
33438,27,blue-collar,married,secondary,4333,0,0,20,apr,1
2336,34,services,single,secondary,23,0,0,13,may,1
16981,47,services,divorced,secondary,-116,0,1,25,jul,3
9791,47,blue-collar,married,primary,214,1,1,9,jun,1
11189,46,technician,married,secondary,179,0,1,18,jun,1
1260,60,retired,married,primary,-2,1,0,8,may,1
21290,35,management,divorced,tertiary,0,0,0,18,aug,6
32443,34,self-employed,single,tertiary,1943,1,0,16,apr,2
21603,32,technician,single,secondary,10,0,0,19,aug,2
41392,51,management,married,tertiary,2635,0,0,1,sep,1
37139,35,blue-collar,married,secondary,323,1,0,13,may,1
18014,40,management,divorced,tertiary,69,1,0,30,jul,2
16306,33,technician,married,tertiary,104,0,0,23,jul,1
5833,34,admin.,single,secondary,66,1,0,26,may,1
8610,40,management,single,tertiary,1845,1,0,3,jun,3
11430,40,services,married,secondary,1358,0,0,19,jun,1
44740,25,student,single,tertiary,20,0,0,8,sep,2
9392,29,technician,single,secondary,778,1,0,6,jun,2
12441,49,admin.,married,secondary,2062,0,0,30,jun,4
10684,44,admin.,married,secondary,1696,0,0,16,jun,3
30983,44,self-employed,married,secondary,304,1,0,9,feb,5
21060,58,management,married,tertiary,361,0,0,14,aug,2
37458,31,services,single,secondary,222,1,0,13,may,2
18121,58,retired,divorced,tertiary,-1598,1,0,30,jul,7
16543,35,technician,married,tertiary,-290,1,1,24,jul,3
7627,38,management,married,tertiary,12855,1,0,30,may,1
35798,34,technician,divorced,secondary,136,1,0,8,may,2
28839,36,admin.,single,secondary,133,0,0,30,jan,3
33138,33,blue-collar,married,primary,217,1,0,20,apr,1
28359,50,self-employed,married,secondary,2061,1,1,29,jan,2
8071,32,management,single,tertiary,1834,1,0,2,jun,1
33314,27,services,married,secondary,472,1,0,20,apr,4
37799,24,services,single,unknown,608,1,0,14,may,1
12248,29,blue-collar,married,secondary,1661,1,0,23,jun,2
28685,34,technician,married,secondary,508,0,0,30,jan,1
8994,54,self-employed,married,secondary,153,1,0,5,jun,1
17331,38,management,single,tertiary,-476,1,0,28,jul,2
14645,60,retired,married,secondary,597,0,0,15,jul,1
5623,44,blue-collar,married,primary,-315,1,0,23,may,3
31777,37,admin.,single,secondary,810,1,0,8,apr,1
41613,45,blue-collar,married,secondary,10252,0,0,22,sep,1
39560,33,technician,single,secondary,4792,0,0,26,may,3
28815,36,services,married,secondary,238,0,0,30,jan,1
20862,35,technician,single,tertiary,303,0,0,13,aug,2
4317,22,blue-collar,single,secondary,3992,1,1,19,may,2
1815,33,blue-collar,single,secondary,33,1,0,9,may,1
13519,37,blue-collar,married,unknown,0,1,0,9,jul,1
11234,32,management,single,tertiary,7419,1,0,18,jun,29
37623,38,services,married,secondary,934,1,0,14,may,1
36678,34,admin.,single,secondary,151,1,0,12,may,1
43556,63,blue-collar,married,primary,115,0,0,27,apr,1
20665,54,technician,married,secondary,479,0,0,12,aug,3
16592,28,technician,married,secondary,158,1,1,24,jul,1
21391,46,management,married,tertiary,3115,0,0,18,aug,2
33870,45,management,married,tertiary,242,0,0,30,apr,1
39668,27,management,single,tertiary,7,0,0,27,may,2
29533,45,unknown,married,unknown,19706,1,0,3,feb,3
38119,27,services,single,tertiary,-152,1,1,15,may,4
35693,56,management,married,tertiary,73,1,0,8,may,1
34575,33,self-employed,single,tertiary,94,1,0,5,may,2
43422,33,self-employed,single,tertiary,562,1,1,6,apr,1
8533,35,technician,married,tertiary,2188,1,0,3,jun,2
12606,42,management,single,tertiary,1156,1,0,4,jul,1
32860,40,blue-collar,married,primary,1802,1,0,17,apr,1
44889,29,unemployed,single,secondary,670,1,0,26,sep,1
27402,39,management,single,tertiary,137,1,0,21,nov,9
43793,39,management,married,tertiary,613,0,0,26,may,2
23518,59,management,divorced,tertiary,866,0,0,28,aug,3
31400,24,student,single,secondary,1250,0,0,25,mar,2
20338,37,management,married,tertiary,825,1,0,11,aug,5
33644,33,technician,single,secondary,641,1,1,20,apr,3
43245,33,management,single,tertiary,224,0,0,8,mar,2
35343,29,blue-collar,single,secondary,2891,1,0,7,may,1
35872,39,technician,single,secondary,1685,1,0,8,may,1
6791,52,entrepreneur,married,primary,8298,1,1,28,may,18
43749,29,admin.,single,secondary,1070,1,0,19,may,1
10694,37,blue-collar,single,secondary,3764,0,0,16,jun,1
39828,58,technician,married,tertiary,883,0,0,1,jun,2
44821,67,retired,married,secondary,2048,0,0,16,sep,5
41330,39,management,married,tertiary,93,1,0,28,aug,1
9885,52,admin.,married,secondary,1004,1,0,9,jun,1
20746,58,retired,married,primary,4158,0,0,13,aug,2
31695,53,blue-collar,divorced,secondary,1912,1,1,7,apr,1
43270,58,management,married,tertiary,1016,0,0,11,mar,2
38289,28,management,single,secondary,703,1,0,15,may,1
45199,34,blue-collar,single,secondary,1475,1,0,16,nov,3
1278,45,blue-collar,married,primary,85,1,0,8,may,1
6686,41,admin.,divorced,secondary,-365,1,0,28,may,10
20546,57,management,divorced,secondary,396,0,0,12,aug,2
326,40,blue-collar,single,secondary,436,1,0,5,may,3
38128,51,services,married,secondary,5885,1,0,15,may,1
38737,38,blue-collar,married,primary,1428,1,0,18,may,5
26726,34,management,married,tertiary,1433,0,0,20,nov,3
6691,27,technician,single,secondary,2430,1,0,28,may,1
38748,51,technician,married,secondary,614,1,0,18,may,4
32328,32,blue-collar,single,primary,528,1,0,16,apr,1
12503,35,self-employed,married,secondary,28,0,1,2,jul,3
3861,58,technician,divorced,secondary,906,1,1,16,may,3
2866,41,blue-collar,married,secondary,338,1,0,14,may,1
18587,44,blue-collar,married,unknown,879,0,0,31,jul,1
12600,49,retired,married,primary,-37,0,0,4,jul,2
5169,32,blue-collar,married,primary,159,1,0,21,may,3
26457,30,technician,single,tertiary,3086,1,0,20,nov,1
25912,52,self-employed,divorced,secondary,1291,1,0,19,nov,1
27109,41,services,single,secondary,92,0,0,21,nov,1
39804,46,management,married,tertiary,0,1,0,1,jun,2
36836,46,blue-collar,married,primary,4170,1,1,12,may,2
43720,57,retired,married,primary,9367,0,0,14,may,4
36048,40,self-employed,married,secondary,0,1,0,11,may,1
34315,49,unemployed,married,secondary,207,0,0,4,may,2
34428,47,management,single,secondary,-246,1,0,5,may,1
18776,35,unemployed,single,tertiary,2340,0,0,31,jul,9
220,40,unemployed,married,secondary,219,1,0,5,may,1
30478,39,management,married,tertiary,2976,0,0,5,feb,12
21439,34,technician,divorced,secondary,0,1,1,18,aug,16
25066,30,unemployed,married,tertiary,0,1,0,18,nov,1
36931,25,student,single,secondary,14657,1,0,12,may,3
8667,23,blue-collar,single,secondary,4084,1,0,3,jun,7
1506,41,management,married,tertiary,393,1,0,8,may,2
28876,36,admin.,divorced,tertiary,281,0,0,30,jan,2
24942,56,management,married,primary,-346,0,1,18,nov,1
13356,56,technician,married,secondary,61,0,1,8,jul,1
6788,26,services,single,tertiary,1624,1,1,28,may,1
14796,31,technician,single,secondary,35,0,1,16,jul,1
22695,33,management,single,tertiary,9135,1,0,25,aug,4
20330,33,technician,married,tertiary,2586,0,0,11,aug,3
37962,40,blue-collar,married,primary,309,1,0,14,may,2
28062,40,blue-collar,single,primary,366,1,1,28,jan,2
896,44,blue-collar,married,primary,143,1,0,7,may,1
32596,28,entrepreneur,married,secondary,490,1,0,17,apr,1
3980,35,blue-collar,single,secondary,510,1,0,16,may,6
27451,46,admin.,divorced,secondary,3163,0,0,21,nov,3
883,38,blue-collar,married,primary,83,1,0,7,may,2
39360,29,unemployed,single,tertiary,497,1,0,18,may,3
43459,49,admin.,married,secondary,197,1,0,13,apr,1
11806,36,self-employed,single,tertiary,977,0,0,20,jun,2
17595,34,services,married,secondary,0,1,0,29,jul,3
31300,34,management,married,tertiary,1674,1,0,10,mar,1
1015,34,blue-collar,married,secondary,2308,1,0,7,may,1
14898,47,blue-collar,divorced,secondary,25,0,1,16,jul,6
36255,46,technician,married,secondary,1740,1,0,11,may,1
5427,39,admin.,divorced,secondary,2679,1,1,23,may,1
5489,30,technician,married,secondary,590,1,0,23,may,3
38290,48,blue-collar,divorced,secondary,501,1,0,15,may,5
33000,35,management,single,tertiary,1045,1,0,17,apr,5
41289,61,retired,married,secondary,399,0,0,26,aug,1
42102,70,technician,married,secondary,3020,0,0,2,nov,2
37357,35,management,single,tertiary,1396,1,0,13,may,1
18598,37,entrepreneur,single,tertiary,65,0,0,31,jul,4
26307,33,management,married,tertiary,2098,0,0,20,nov,1
18915,51,housemaid,married,unknown,21244,0,1,4,aug,2
16090,33,services,married,secondary,3444,1,0,22,jul,4
7886,41,technician,single,secondary,568,1,0,30,may,2
10592,36,unemployed,single,secondary,490,1,1,16,jun,3
35578,57,technician,married,secondary,3071,1,1,7,may,3
42566,27,services,single,secondary,1347,0,0,28,dec,1
28635,31,blue-collar,married,secondary,99,1,0,29,jan,3
27257,35,management,married,tertiary,0,1,0,21,nov,1
28739,36,unemployed,divorced,secondary,5,1,0,30,jan,1
1931,33,blue-collar,single,secondary,328,1,0,9,may,2
5122,33,technician,single,tertiary,8874,0,1,21,may,3
41264,37,technician,married,tertiary,127,1,0,25,aug,1
24701,56,management,single,tertiary,1092,1,1,17,nov,3
14523,42,technician,married,secondary,758,1,0,15,jul,4
810,36,blue-collar,married,secondary,-251,1,0,7,may,1
2673,48,technician,married,secondary,4265,1,0,13,may,2
37973,37,blue-collar,married,primary,2079,1,1,14,may,1
42878,54,admin.,divorced,secondary,0,1,1,4,feb,1
42280,31,services,single,secondary,181,0,0,13,nov,2
17223,33,management,married,tertiary,0,1,0,28,jul,3
3722,56,management,divorced,tertiary,975,1,0,16,may,4
9478,55,services,divorced,primary,653,0,0,6,jun,1
18080,32,services,married,secondary,-31,0,1,30,jul,6
23723,31,technician,single,secondary,182,0,0,28,aug,5
40152,30,technician,single,tertiary,0,1,0,5,jun,2
15036,26,blue-collar,single,secondary,4146,0,0,17,jul,1
28430,38,management,single,tertiary,16957,1,0,29,jan,1
415,34,admin.,divorced,secondary,67,1,0,6,may,1
10008,35,unemployed,married,primary,859,0,0,9,jun,3
19730,33,technician,divorced,secondary,801,0,0,7,aug,5
32677,32,blue-collar,married,secondary,9,1,0,17,apr,2
38408,29,blue-collar,married,secondary,47,1,1,15,may,1
39872,43,blue-collar,married,secondary,2160,0,0,2,jun,1
19673,41,self-employed,single,tertiary,0,0,0,7,aug,1
2860,47,blue-collar,married,primary,1294,1,0,14,may,2
38657,35,self-employed,married,secondary,-56,1,0,15,may,2
13682,29,management,single,tertiary,0,1,0,9,jul,1
25797,58,technician,single,tertiary,388,0,0,19,nov,1
39587,26,admin.,single,tertiary,2170,1,0,26,may,1
24958,39,technician,married,tertiary,4313,1,0,18,nov,2
7196,26,technician,single,tertiary,77,1,0,29,may,2
4710,32,blue-collar,married,primary,80,1,0,20,may,2
17063,51,technician,married,secondary,18,0,1,25,jul,6
20555,54,management,married,tertiary,1146,1,0,12,aug,2
23046,50,blue-collar,married,secondary,579,0,0,26,aug,4
23704,52,blue-collar,married,secondary,305,0,0,28,aug,26
1724,42,blue-collar,married,primary,-67,1,0,9,may,1
12436,56,technician,married,tertiary,3082,1,1,30,jun,3
16724,25,student,single,secondary,1747,1,0,24,jul,1
30739,38,management,married,tertiary,569,1,0,6,feb,2
22141,45,blue-collar,married,secondary,430,0,1,21,aug,2
42728,33,admin.,single,tertiary,0,0,0,26,jan,1
38937,27,technician,married,secondary,876,1,0,18,may,1
29884,27,blue-collar,married,secondary,77,1,0,4,feb,1
14207,36,blue-collar,married,primary,-608,1,0,11,jul,2
39502,39,management,married,tertiary,246,1,0,25,may,1
28923,38,blue-collar,married,secondary,168,0,1,2,feb,1
5881,24,blue-collar,married,secondary,984,1,0,26,may,3
26471,45,management,single,tertiary,5769,0,0,20,nov,3
38987,35,self-employed,single,tertiary,0,1,1,18,may,1
23225,33,management,single,tertiary,0,0,0,27,aug,4
38059,39,blue-collar,married,primary,-223,1,0,14,may,10
22777,30,management,married,tertiary,144,1,0,25,aug,17
9802,50,housemaid,married,secondary,1484,0,0,9,jun,1
10655,39,services,single,secondary,1336,1,0,16,jun,1
19712,56,retired,married,primary,3149,0,0,7,aug,3
27222,34,management,married,tertiary,1240,1,0,21,nov,1
4136,47,blue-collar,married,secondary,863,1,0,19,may,2
30451,30,unemployed,single,secondary,79,0,1,5,feb,2
24266,43,technician,married,secondary,1865,1,0,17,nov,1
35652,42,admin.,single,secondary,-149,1,1,8,may,1
18523,46,blue-collar,married,primary,333,1,0,31,jul,4
20203,30,management,single,tertiary,4889,0,0,11,aug,2
9192,50,entrepreneur,single,primary,1659,0,0,5,jun,2
42627,28,services,single,secondary,168,0,0,12,jan,1
35657,33,technician,single,secondary,3806,1,0,8,may,3
35465,27,blue-collar,single,secondary,4,1,0,7,may,2
24049,31,entrepreneur,married,tertiary,79,1,0,18,oct,1
2882,40,admin.,married,secondary,1535,1,0,14,may,1
1411,34,services,married,secondary,2211,0,0,8,may,1
31791,38,technician,married,tertiary,3234,0,0,8,apr,1
35764,45,services,married,secondary,972,1,0,8,may,1
18306,45,admin.,married,secondary,194,0,0,31,jul,4
685,54,services,married,secondary,510,1,0,6,may,2
44038,31,management,single,tertiary,1539,1,0,30,jun,2
37871,42,blue-collar,divorced,primary,1563,1,0,14,may,2
17611,42,management,married,secondary,1018,0,0,29,jul,2
5968,53,blue-collar,married,secondary,974,1,0,26,may,2
40475,60,housemaid,married,primary,11904,0,0,6,jul,3
7840,25,blue-collar,single,secondary,352,1,0,30,may,5
27947,32,blue-collar,single,secondary,2746,0,0,28,jan,1
3233,49,services,divorced,secondary,3649,1,1,15,may,1
20777,59,management,married,tertiary,782,0,1,13,aug,2
14522,37,blue-collar,married,secondary,0,1,0,15,jul,2
9143,47,blue-collar,married,secondary,1996,0,0,5,jun,2
27993,32,admin.,married,secondary,3473,0,0,28,jan,1
2022,54,management,married,tertiary,154,0,0,9,may,3
14344,37,blue-collar,married,secondary,223,1,0,14,jul,2
3530,56,services,married,secondary,2658,1,0,15,may,1
25458,36,management,married,tertiary,481,1,0,19,nov,3
14279,51,management,married,tertiary,248,1,1,14,jul,3
33376,37,admin.,divorced,tertiary,43,1,0,20,apr,2
41434,43,management,married,tertiary,13450,1,0,4,sep,1
37310,55,blue-collar,divorced,unknown,276,1,0,13,may,1
36942,37,technician,married,secondary,807,1,0,12,may,3
19904,33,management,married,tertiary,2604,0,0,8,aug,2
3691,53,management,single,secondary,5558,1,0,16,may,3
40392,37,management,married,tertiary,1315,0,0,30,jun,1
1872,46,blue-collar,married,primary,1726,1,1,9,may,1
116,41,admin.,married,secondary,351,1,0,5,may,1
19849,34,management,married,tertiary,101,0,0,8,aug,2
6422,46,blue-collar,married,primary,-326,1,0,27,may,4
30850,32,blue-collar,married,primary,183,1,0,9,feb,4
29057,58,retired,married,secondary,195,0,0,2,feb,1
37907,40,blue-collar,married,primary,105,1,0,14,may,2
9157,40,blue-collar,married,primary,743,0,0,5,jun,2
23361,31,technician,single,tertiary,4979,0,1,27,aug,2
19708,53,management,married,tertiary,1945,0,0,7,aug,7
34969,30,entrepreneur,married,primary,501,1,1,6,may,2
43786,28,student,married,secondary,0,0,0,25,may,1
5909,48,management,divorced,tertiary,1492,1,0,26,may,2
30174,46,management,married,tertiary,-191,1,0,5,feb,3
24742,34,blue-collar,married,primary,7673,1,0,18,nov,1
24159,28,self-employed,single,tertiary,160,0,0,11,nov,1
20678,44,technician,married,secondary,267,0,1,12,aug,3
31267,29,admin.,single,secondary,873,0,0,5,mar,2
951,51,technician,married,secondary,220,1,0,7,may,2
24672,43,services,divorced,secondary,1043,1,0,17,nov,4
6406,32,services,single,secondary,259,1,0,27,may,2
37666,29,technician,single,secondary,500,1,0,14,may,3
3853,56,housemaid,married,primary,82,0,0,16,may,1
28625,28,services,single,secondary,298,0,0,29,jan,2
39648,47,housemaid,single,secondary,17023,0,0,26,may,2
42582,72,retired,married,primary,0,0,0,29,dec,2
5779,28,management,single,tertiary,7544,1,0,26,may,1
21076,30,management,single,tertiary,3905,0,0,14,aug,2
1901,38,technician,single,tertiary,-256,1,0,9,may,1
15181,54,technician,married,primary,-1818,1,0,17,jul,2
20571,30,management,single,tertiary,812,0,0,12,aug,4
13810,29,technician,single,secondary,-33,0,1,10,jul,1
11726,53,blue-collar,married,secondary,1777,1,0,20,jun,1
13255,28,management,single,unknown,81,0,1,8,jul,1
8314,43,blue-collar,married,primary,7343,1,0,2,jun,4
18354,52,retired,divorced,primary,353,0,0,31,jul,4
42984,70,retired,married,primary,579,0,0,11,feb,2
8133,30,admin.,married,secondary,667,1,0,2,jun,2
34615,35,services,single,secondary,1239,1,0,5,may,2
14126,49,blue-collar,married,primary,0,0,0,11,jul,2
31751,51,blue-collar,married,secondary,984,1,0,7,apr,4
21316,60,retired,married,secondary,8121,1,1,18,aug,7
43501,57,management,married,tertiary,2845,1,0,19,apr,5
25497,52,management,married,tertiary,488,1,0,19,nov,3
31735,36,admin.,divorced,secondary,356,1,0,7,apr,3
28939,46,technician,married,secondary,363,1,0,2,feb,1
26737,32,blue-collar,single,secondary,6982,1,0,20,nov,2
34915,41,admin.,married,primary,0,1,0,6,may,2
16714,37,admin.,married,secondary,352,1,0,24,jul,2
9282,38,student,single,tertiary,1523,1,0,5,jun,16
15736,58,retired,married,unknown,9004,0,0,21,jul,4
35315,53,management,married,tertiary,34230,1,1,7,may,1
8165,24,blue-collar,single,primary,147,1,0,2,jun,2
28093,26,technician,single,tertiary,4130,0,0,28,jan,2
41827,59,unemployed,divorced,secondary,7469,0,0,15,oct,1
23234,41,management,married,tertiary,24,0,0,27,aug,8
8999,41,technician,married,secondary,261,0,1,5,jun,1
34688,42,services,single,secondary,241,1,0,5,may,2
27274,31,technician,single,secondary,11,1,0,21,nov,9
8716,48,blue-collar,single,primary,1938,1,0,4,jun,1
14067,50,services,married,secondary,-682,1,0,11,jul,2
29832,31,unemployed,single,primary,406,0,0,4,feb,1
31233,94,retired,divorced,secondary,1234,0,0,3,mar,1
27649,41,entrepreneur,married,secondary,0,1,1,21,nov,5
3004,51,blue-collar,married,secondary,7180,1,0,14,may,1
7629,38,admin.,divorced,secondary,661,1,0,30,may,1
44309,49,technician,married,secondary,308,0,0,27,jul,5
7685,50,management,married,tertiary,1158,1,0,30,may,1
26282,33,blue-collar,married,primary,5151,1,1,20,nov,1
7824,38,management,single,tertiary,126,1,0,30,may,2
17554,40,blue-collar,single,secondary,5483,0,0,29,jul,2
16207,27,management,divorced,tertiary,148,0,0,22,jul,9
23793,46,blue-collar,married,secondary,1673,1,0,29,aug,10
29151,46,housemaid,married,primary,0,0,0,2,feb,1
41808,39,housemaid,married,tertiary,93,0,0,14,oct,2
25288,36,technician,divorced,secondary,556,1,0,18,nov,3
43736,79,retired,married,primary,1058,0,0,17,may,5
33706,74,retired,married,secondary,9480,0,0,21,apr,1
42611,35,technician,single,secondary,4645,1,0,11,jan,3
14133,56,housemaid,married,primary,0,1,1,11,jul,2
38594,40,blue-collar,married,secondary,5,1,0,15,may,2
4354,31,blue-collar,married,primary,352,1,0,19,may,9
10809,43,management,married,tertiary,438,0,0,17,jun,2
3679,35,management,single,tertiary,205,1,0,16,may,1
39789,42,entrepreneur,married,secondary,707,0,0,1,jun,1
37489,45,admin.,married,secondary,358,1,0,13,may,2
24185,57,blue-collar,married,secondary,5270,1,0,17,nov,1
6187,36,admin.,single,unknown,-69,1,0,27,may,2
43361,47,management,single,tertiary,334,1,0,26,mar,1
39136,32,blue-collar,married,primary,-454,1,1,18,may,5
23439,33,management,married,tertiary,1138,0,0,28,aug,4
21173,58,blue-collar,married,primary,494,0,0,14,aug,10
17300,44,blue-collar,married,secondary,215,0,1,28,jul,5
38161,41,blue-collar,divorced,secondary,793,1,0,15,may,1
29924,28,management,single,tertiary,637,1,0,4,feb,1
22465,46,services,married,secondary,273,0,0,22,aug,2
17411,44,management,married,primary,5418,1,1,28,jul,5
15084,47,blue-collar,married,primary,840,0,1,17,jul,1
41192,28,student,single,secondary,1925,0,0,20,aug,1
24492,38,management,married,tertiary,425,1,0,17,nov,1
18144,57,blue-collar,married,primary,133,0,1,30,jul,4
19916,51,blue-collar,married,secondary,700,0,0,8,aug,4
18741,35,blue-collar,single,unknown,2298,0,0,31,jul,4
7322,37,blue-collar,married,secondary,1731,1,1,29,may,4
20887,30,entrepreneur,married,tertiary,366,0,0,13,aug,6
35659,30,management,single,tertiary,277,1,0,8,may,1
10822,50,blue-collar,married,primary,2190,0,0,17,jun,1
11434,59,admin.,married,secondary,1365,0,0,19,jun,1
38398,33,management,married,primary,142,1,0,15,may,1
20377,38,services,single,secondary,9609,1,0,11,aug,9
38072,31,services,married,secondary,4687,1,0,14,may,4
3449,39,management,divorced,tertiary,9541,0,0,15,may,1
42180,24,student,single,secondary,125,0,0,9,nov,1
29567,32,services,married,secondary,1844,1,1,3,feb,4
35128,25,student,single,secondary,115,0,0,6,may,2
25916,30,entrepreneur,married,secondary,946,1,0,19,nov,1
2401,27,blue-collar,single,secondary,71,1,0,13,may,1
12118,60,blue-collar,married,primary,703,0,0,20,jun,7
6855,33,blue-collar,married,secondary,529,1,0,28,may,3
37429,42,blue-collar,married,secondary,-336,1,0,13,may,3
5483,45,admin.,married,secondary,149,1,0,23,may,3
17518,60,retired,married,secondary,879,1,1,29,jul,8
16527,49,blue-collar,married,primary,0,1,1,23,jul,6
4286,41,blue-collar,married,unknown,665,1,0,19,may,3
44830,81,retired,married,primary,1154,0,0,17,sep,1
15803,25,management,married,tertiary,3,1,1,21,jul,3
27539,41,blue-collar,married,primary,686,1,0,21,nov,3
32105,86,retired,married,primary,0,0,0,15,apr,12
24778,44,management,married,tertiary,0,1,1,18,nov,1
20133,33,technician,married,tertiary,8408,0,0,11,aug,2
22570,36,technician,married,secondary,287,0,0,22,aug,6
28811,36,technician,single,secondary,317,1,0,30,jan,2
13974,27,student,single,secondary,106,1,0,10,jul,1
28994,44,unemployed,married,secondary,0,1,0,2,feb,1
34668,35,housemaid,married,secondary,738,1,0,5,may,9
2993,54,management,divorced,secondary,155,1,0,14,may,1
32516,44,blue-collar,married,secondary,788,1,0,17,apr,1
41568,28,management,single,tertiary,2380,0,0,14,sep,2
8203,53,retired,married,secondary,-686,0,1,2,jun,3
23364,32,technician,married,secondary,616,1,0,27,aug,7
22001,43,technician,married,secondary,481,0,0,20,aug,2
9184,44,technician,married,secondary,1210,0,0,5,jun,2
34701,34,technician,single,secondary,513,1,0,5,may,3
1741,29,admin.,divorced,secondary,0,0,0,9,may,1
25647,39,technician,divorced,secondary,688,1,1,19,nov,1
26360,36,management,married,tertiary,11675,1,0,20,nov,1
15283,46,blue-collar,divorced,secondary,709,1,0,18,jul,4
36757,41,blue-collar,married,secondary,449,1,1,12,may,2
4570,36,blue-collar,married,primary,8135,1,0,20,may,1
5633,35,blue-collar,married,secondary,0,1,0,23,may,4
40032,58,housemaid,married,primary,0,0,0,3,jun,3
40990,28,services,single,secondary,231,1,1,13,aug,1
14367,42,services,married,secondary,-369,0,0,14,jul,3
44395,42,management,married,tertiary,372,1,0,3,aug,2
39604,21,technician,single,unknown,360,0,0,26,may,2
17527,49,services,married,secondary,-249,0,0,29,jul,5
39253,36,entrepreneur,married,secondary,246,1,0,18,may,4
32601,42,blue-collar,married,secondary,414,1,0,17,apr,3
14944,38,management,married,secondary,3500,1,0,16,jul,4
36607,36,management,single,tertiary,687,1,0,12,may,1
19703,32,services,married,secondary,3360,1,1,7,aug,5
2911,42,blue-collar,married,secondary,3,1,0,14,may,1
17758,52,retired,married,tertiary,1452,0,1,29,jul,3
12608,32,admin.,single,tertiary,-59,0,1,4,jul,1
623,59,retired,married,primary,-119,1,0,6,may,1
25767,41,blue-collar,married,secondary,1011,1,0,19,nov,1
29700,51,retired,single,secondary,5885,0,0,3,feb,6
833,42,management,married,tertiary,386,1,0,7,may,1
11471,52,blue-collar,married,primary,1409,1,0,19,jun,1
42353,36,admin.,married,tertiary,0,0,0,25,nov,1
8289,42,blue-collar,married,secondary,4,1,1,2,jun,8
6858,53,blue-collar,married,secondary,314,1,0,28,may,2
1920,42,blue-collar,married,primary,0,1,0,9,may,2
31308,29,admin.,single,secondary,345,0,0,11,mar,3
34698,30,management,single,tertiary,61,1,0,5,may,7
30527,40,unemployed,married,tertiary,2135,1,0,5,feb,5
23133,34,technician,married,secondary,1005,0,0,26,aug,7
12360,47,services,married,secondary,1160,1,0,27,jun,4
13369,27,management,single,tertiary,154,0,1,9,jul,1
14109,39,admin.,married,secondary,401,1,0,11,jul,2
33367,39,blue-collar,married,secondary,56,1,0,20,apr,1
27706,30,blue-collar,single,tertiary,4127,1,0,21,nov,4
27817,33,management,married,tertiary,373,0,0,28,jan,1
474,34,admin.,married,secondary,869,0,0,6,may,1
13809,51,blue-collar,married,primary,0,1,0,10,jul,1
6944,35,self-employed,single,tertiary,935,1,0,28,may,2
21212,52,management,married,tertiary,576,0,0,18,aug,3
